"サービスID","データID","取得日","飲食購入金額","コメント"
"0000682554","cli_t-30","2019-03-01 10:19:02","700",""
"0000881285","cli_t-30","2019-07-10 15:37:22","850",""
"0000986678","cli_t-30","2019-05-10 16:01:33","450",""
"0000324066","cli_t-30","2019-07-24 05:46:04","450",""
"0000806464","cli_t-30","2019-05-26 06:49:39","800",""
"0000741964","cli_t-30","2019-09-19 11:31:51","200",""
"0000275628","cli_t-30","2019-08-11 02:35:37","800",""
"0000153171","cli_t-30","2019-09-17 01:15:08","350",""
"0000232943","cli_t-30","2019-05-23 02:14:56","100",""
"0000110759","cli_t-30","2019-01-22 07:04:37","850",""
"0000613816","cli_t-30","2019-06-02 05:46:29","200",""
"0000822596","cli_t-30","2019-02-06 23:15:53","350",""
"0000597796","cli_t-30","2019-05-27 20:08:33","100",""
"0000750633","cli_t-30","2019-11-08 10:24:50","250",""
"000023755","cli_t-30","2019-02-03 09:15:34","650",""
"0000803395","cli_t-30","2019-05-16 19:05:12","550",""
"000018761","cli_t-30","2019-03-10 23:01:40","150",""
"000081287","cli_t-30","2019-09-22 13:45:37","600",""
"000093139","cli_t-30","2019-09-09 01:18:46","200",""
"0000686611","cli_t-30","2019-05-10 13:55:56","500",""
"0000155049","cli_t-30","2019-04-25 11:29:50","950",""
"0000358107","cli_t-30","2019-11-29 11:59:24","600",""
"0000183796","cli_t-30","2019-11-20 15:33:52","250",""
"0000437927","cli_t-30","2019-11-14 06:32:36","900",""
"0000734975","cli_t-30","2019-01-17 04:05:32","950",""
"0000132718","cli_t-30","2019-10-09 12:01:36","200",""
"0000111848","cli_t-30","2019-09-11 23:37:23","750",""
"0000834138","cli_t-30","2019-12-03 01:38:21","350",""
"0000521228","cli_t-30","2019-11-29 03:49:31","400",""
"0000998372","cli_t-30","2019-07-24 08:34:40","800",""
"0000514217","cli_t-30","2019-07-11 14:14:47","150",""
"0000807018","cli_t-30","2019-09-13 12:41:28","600",""
"0000114049","cli_t-30","2019-01-04 10:45:59","750",""
"0000211982","cli_t-30","2019-03-09 07:30:17","400",""
"000032537","cli_t-30","2019-06-11 15:50:19","950",""
"0000252037","cli_t-30","2019-06-05 22:29:54","200",""
"0000696932","cli_t-30","2019-12-26 01:22:22","900",""
"0000188620","cli_t-30","2019-06-26 08:23:22","850",""
"0000645036","cli_t-30","2019-04-11 22:18:29","600",""
"0000357728","cli_t-30","2019-06-05 21:23:47","250",""
"0000764949","cli_t-30","2019-09-24 11:20:30","750",""
"0000388092","cli_t-30","2019-09-24 02:27:25","800",""
"0000269835","cli_t-30","2019-07-30 21:58:48","750",""
"000020067","cli_t-30","2019-12-30 01:51:21","650",""
"0000113354","cli_t-30","2019-09-13 23:30:28","900",""
"0000304684","cli_t-30","2019-06-15 05:59:13","150",""
"0000836712","cli_t-30","2019-05-26 22:35:12","800",""
"0000194850","cli_t-30","2019-07-19 18:41:27","700",""
"0000486233","cli_t-30","2019-12-01 08:10:32","500",""
"0000326693","cli_t-30","2019-06-01 23:31:35","750",""
"000035138","cli_t-30","2019-03-20 19:38:55","250",""
"0000337105","cli_t-30","2019-04-04 01:01:59","600",""
"0000229015","cli_t-30","2019-09-13 21:55:06","800",""
"0000930139","cli_t-30","2019-07-19 22:08:05","200",""
"0000780474","cli_t-30","2019-05-01 09:24:20","650",""
"0000325964","cli_t-30","2019-11-25 21:00:09","100",""
"0000884296","cli_t-30","2019-05-16 09:45:18","900",""
"0000227037","cli_t-30","2019-11-21 06:54:30","400",""
"0000898932","cli_t-30","2019-07-29 06:42:59","550",""
"0000731892","cli_t-30","2019-12-12 12:02:40","200",""
"0000488626","cli_t-30","2019-03-05 06:28:03","700",""
"0000919334","cli_t-30","2019-03-10 23:00:11","150",""
"000038405","cli_t-30","2019-02-18 18:52:53","650",""
"0000749063","cli_t-30","2019-11-04 16:37:58","150",""
"0000286250","cli_t-30","2019-12-24 02:29:08","300",""
"0000371262","cli_t-30","2019-07-29 13:45:40","800",""
"0000119533","cli_t-30","2019-11-23 09:01:54","450",""
"000020660","cli_t-30","2019-07-14 21:00:57","200",""
"0000725527","cli_t-30","2019-05-30 12:06:53","700",""
"0000586692","cli_t-30","2019-11-19 19:33:47","150",""
"0000851540","cli_t-30","2019-10-22 01:39:12","350",""
"0000412081","cli_t-30","2019-08-25 14:03:07","200",""
"0000635055","cli_t-30","2019-04-15 11:08:14","350",""
"0000560172","cli_t-30","2019-08-01 05:07:31","650",""
"0000873823","cli_t-30","2019-04-29 14:30:10","900",""
"0000422732","cli_t-30","2019-05-05 07:42:32","700",""
"0000790132","cli_t-30","2019-08-12 00:13:47","250",""
"0000590143","cli_t-30","2019-11-17 06:51:31","550",""
"0000802119","cli_t-30","2019-03-24 19:05:08","650",""
"0000717825","cli_t-30","2019-11-19 02:58:41","400",""
"0000127681","cli_t-30","2019-07-06 04:11:16","800",""
"0000612383","cli_t-30","2019-09-02 13:30:28","850",""
"0000595913","cli_t-30","2019-09-10 12:47:20","350",""
"0000968881","cli_t-30","2019-02-20 05:15:35","400",""
"0000512821","cli_t-30","2019-12-02 06:55:12","100",""
"0000379808","cli_t-30","2019-01-22 08:04:00","550",""
"0000741457","cli_t-30","2019-10-24 14:35:41","700",""
"0000517014","cli_t-30","2019-09-16 22:17:54","750",""
"0000941587","cli_t-30","2019-03-03 18:24:53","200",""
"000088816","cli_t-30","2019-10-20 01:16:44","700",""
"0000273800","cli_t-30","2019-05-26 03:15:00","600",""
"0000183130","cli_t-30","2019-03-23 14:37:16","550",""
"0000526606","cli_t-30","2019-12-14 09:09:04","450",""
"0000835194","cli_t-30","2019-11-03 00:37:04","500",""
"0000584635","cli_t-30","2019-03-30 00:30:18","200",""
"0000519998","cli_t-30","2019-05-05 05:00:44","950",""
"000095818","cli_t-30","2019-08-26 04:09:36","700",""
"0000275931","cli_t-30","2019-01-23 17:03:59","200",""
"0000252268","cli_t-30","2019-10-28 07:59:54","300",""
"0000603189","cli_t-30","2019-05-17 16:31:54","300",""
"0000917383","cli_t-30","2019-05-05 05:03:53","800",""
"0000162316","cli_t-30","2019-11-27 15:32:39","900",""
"0000870716","cli_t-30","2019-09-26 02:55:58","500",""
"0000128119","cli_t-30","2019-02-14 18:02:22","550",""
"0000591699","cli_t-30","2019-05-25 10:56:00","150",""
"0000130879","cli_t-30","2019-01-03 04:04:08","700",""
"000021388","cli_t-30","2019-12-27 10:41:08","400",""
"000061979","cli_t-30","2019-04-01 02:35:12","550",""
"000023985","cli_t-30","2019-01-04 05:25:07","900",""
"0000618590","cli_t-30","2019-12-19 07:34:09","350",""
"0000830287","cli_t-30","2019-10-21 21:50:58","450",""
"0000670676","cli_t-30","2019-12-22 14:35:10","300",""
"0000108151","cli_t-30","2019-07-18 14:33:44","300",""
"0000510333","cli_t-30","2019-09-07 12:05:37","100",""
"0000881164","cli_t-30","2019-05-13 00:25:30","300",""
"0000467295","cli_t-30","2019-02-01 13:25:06","100",""
"0000757808","cli_t-30","2019-03-24 14:24:33","800",""
"0000334384","cli_t-30","2019-12-09 05:21:33","500",""
"0000945680","cli_t-30","2019-06-14 16:28:45","300",""
"0000907845","cli_t-30","2019-02-26 06:22:07","600",""
"0000511644","cli_t-30","2019-03-11 10:52:19","550",""
"0000384724","cli_t-30","2019-11-30 03:35:22","150",""
"0000218805","cli_t-30","2019-01-16 07:29:13","650",""
"0000858614","cli_t-30","2019-11-04 04:14:09","600",""
"0000992954","cli_t-30","2019-08-30 15:04:54","750",""
"0000772056","cli_t-30","2019-03-30 12:12:12","700",""
"0000318135","cli_t-30","2019-03-03 21:07:44","250",""
"0000326688","cli_t-30","2019-07-18 02:25:53","250",""
"0000968596","cli_t-30","2019-08-12 08:45:08","250",""
"0000701995","cli_t-30","2019-07-20 14:39:51","300",""
"0000918422","cli_t-30","2019-09-28 01:23:48","300",""
"000022118","cli_t-30","2019-01-15 03:19:36","850",""
"0000966242","cli_t-30","2019-12-15 16:00:16","200",""
"0000834267","cli_t-30","2019-01-28 22:13:20","850",""
"0000882642","cli_t-30","2019-05-03 17:55:13","550",""
"0000461345","cli_t-30","2019-12-28 20:14:40","200",""
"0000978488","cli_t-30","2019-02-16 22:58:48","800",""
"0000604023","cli_t-30","2019-10-26 14:22:23","900",""
"0000552986","cli_t-30","2019-04-08 06:08:59","550",""
"0000356278","cli_t-30","2019-12-21 17:38:55","250",""
"000068998","cli_t-30","2019-07-23 00:07:52","500",""
"0000561567","cli_t-30","2019-11-13 08:37:20","400",""
"0000871371","cli_t-30","2019-10-09 02:22:36","500",""
"0000939288","cli_t-30","2019-05-18 09:50:10","250",""
"0000344173","cli_t-30","2019-06-03 13:06:07","250",""
"0000629969","cli_t-30","2019-12-26 07:45:04","300",""
"0000993401","cli_t-30","2019-06-06 02:17:23","950",""
"0000583040","cli_t-30","2019-02-23 00:39:38","450",""
"0000539588","cli_t-30","2019-11-01 04:52:38","550",""
"0000546071","cli_t-30","2019-04-18 16:20:55","250",""
"0000823543","cli_t-30","2019-07-19 06:02:55","900",""
"0000395202","cli_t-30","2019-05-16 13:33:33","600",""
"0000768409","cli_t-30","2019-07-02 07:25:46","300",""
"0000696381","cli_t-30","2019-11-21 02:55:42","400",""
"0000912649","cli_t-30","2019-08-01 17:54:57","150",""
"0000484122","cli_t-30","2019-12-10 14:00:30","700",""
"0000582064","cli_t-30","2019-09-22 23:04:45","650",""
"0000371981","cli_t-30","2019-07-13 14:37:57","100",""
"0000342341","cli_t-30","2019-05-15 10:32:46","350",""
"0000870580","cli_t-30","2019-03-06 04:03:50","900",""
"0000807578","cli_t-30","2019-08-25 23:54:09","750",""
"0000887440","cli_t-30","2019-02-19 20:32:41","100",""
"000048568","cli_t-30","2019-04-01 14:26:52","750",""
"0000741846","cli_t-30","2019-01-01 16:19:55","900",""
"000077562","cli_t-30","2019-05-28 12:59:23","100",""
"0000324823","cli_t-30","2019-08-23 21:16:26","850",""
"0000469191","cli_t-30","2019-02-03 13:54:51","700",""
"0000555099","cli_t-30","2019-08-18 18:29:44","100",""
"0000128711","cli_t-30","2019-01-05 10:07:25","550",""
"0000417614","cli_t-30","2019-12-26 03:23:35","300",""
"0000474498","cli_t-30","2019-06-19 05:18:02","400",""
"0000292747","cli_t-30","2019-10-11 17:05:23","650",""
"0000327157","cli_t-30","2019-09-23 15:35:06","400",""
"000022480","cli_t-30","2019-04-18 03:04:10","150",""
"0000502411","cli_t-30","2019-03-07 22:00:04","550",""
"0000887000","cli_t-30","2019-06-24 21:20:03","450",""
"0000401644","cli_t-30","2019-08-30 05:08:07","850",""
"0000256102","cli_t-30","2019-03-19 15:11:22","400",""
"0000399074","cli_t-30","2019-11-15 12:38:36","450",""
"0000874181","cli_t-30","2019-03-27 04:11:03","400",""
"0000650514","cli_t-30","2019-07-01 07:15:22","800",""
"0000438582","cli_t-30","2019-02-20 01:24:35","750",""
"0000504133","cli_t-30","2019-03-11 10:14:26","150",""
"0000497793","cli_t-30","2019-09-23 16:27:03","600",""
"0000256804","cli_t-30","2019-05-03 23:47:19","500",""
"0000833538","cli_t-30","2019-06-24 09:06:44","250",""
"0000115092","cli_t-30","2019-09-08 06:16:47","750",""
"0000542952","cli_t-30","2019-09-04 20:52:17","900",""
"000021920","cli_t-30","2019-09-23 10:56:53","850",""
"0000742651","cli_t-30","2019-08-13 11:46:26","700",""
"0000150637","cli_t-30","2019-07-30 10:04:51","300",""
"0000960287","cli_t-30","2019-05-03 09:16:37","800",""
"0000269696","cli_t-30","2019-02-28 23:20:00","150",""
"0000205304","cli_t-30","2019-01-02 09:23:41","950",""
"0000847429","cli_t-30","2019-12-22 06:18:24","900",""
"0000617476","cli_t-30","2019-03-02 23:58:51","850",""
"0000310922","cli_t-30","2019-07-01 04:53:48","250",""
"0000113638","cli_t-30","2019-01-09 09:07:37","400",""
"0000711190","cli_t-30","2019-05-31 04:59:42","800",""
"0000255656","cli_t-30","2019-09-11 05:06:43","100",""
"0000602895","cli_t-30","2019-01-08 19:53:20","500",""
"0000834807","cli_t-30","2019-07-26 19:47:54","450",""
"0000263454","cli_t-30","2019-01-02 21:38:37","300",""
"0000480157","cli_t-30","2019-01-08 05:53:14","650",""
"0000679923","cli_t-30","2019-01-25 14:18:51","350",""
"0000236749","cli_t-30","2019-01-03 14:13:59","850",""
"0000584669","cli_t-30","2019-10-20 09:41:36","650",""
"0000973932","cli_t-30","2019-08-27 03:00:59","550",""
"0000694148","cli_t-30","2019-06-17 11:10:31","250",""
"0000943519","cli_t-30","2019-02-18 05:29:47","900",""
"0000252377","cli_t-30","2019-07-11 02:51:51","150",""
"00005437","cli_t-30","2019-04-24 05:10:24","300",""
"0000335205","cli_t-30","2019-05-01 01:31:10","850",""
"0000496749","cli_t-30","2019-12-09 23:00:31","550",""
"0000348103","cli_t-30","2019-02-08 11:11:19","250",""
"0000736096","cli_t-30","2019-01-06 03:47:57","600",""
"0000622828","cli_t-30","2019-03-23 05:07:16","900",""
"0000103921","cli_t-30","2019-08-10 21:01:03","450",""
"0000479915","cli_t-30","2019-03-22 13:36:39","900",""
"0000250462","cli_t-30","2019-06-12 11:38:09","250",""
"0000841396","cli_t-30","2019-10-18 22:49:03","850",""
"0000522233","cli_t-30","2019-10-19 11:14:17","750",""
"0000290446","cli_t-30","2019-03-25 10:30:48","450",""
"0000708684","cli_t-30","2019-10-03 22:47:47","450",""
"0000914075","cli_t-30","2019-10-30 19:28:00","550",""
"0000108782","cli_t-30","2019-07-28 18:09:25","150",""
"000096036","cli_t-30","2019-10-07 22:58:34","300",""
"0000516169","cli_t-30","2019-02-26 14:16:12","550",""
"0000222858","cli_t-30","2019-09-02 18:36:23","100",""
"0000748883","cli_t-30","2019-06-16 00:35:59","900",""
"0000614406","cli_t-30","2019-08-10 02:33:48","450",""
"0000413548","cli_t-30","2019-06-18 07:13:48","950",""
"0000897246","cli_t-30","2019-10-24 09:42:17","600",""
"0000535839","cli_t-30","2019-12-10 04:05:26","600",""
"0000131938","cli_t-30","2019-03-05 20:50:31","500",""
"0000559189","cli_t-30","2019-07-04 12:57:27","900",""
"000091823","cli_t-30","2019-09-13 12:39:58","250",""
"0000143424","cli_t-30","2019-07-26 10:46:28","150",""
"0000136181","cli_t-30","2019-08-25 14:18:35","200",""
"0000304579","cli_t-30","2019-08-16 17:14:02","700",""
"0000637950","cli_t-30","2019-06-22 07:39:28","600",""
"0000412021","cli_t-30","2019-12-01 18:51:08","800",""
"0000562092","cli_t-30","2019-05-10 23:11:04","700",""
"0000347886","cli_t-30","2019-10-16 02:58:50","700",""
"0000854886","cli_t-30","2019-11-21 05:55:23","450",""
"000013382","cli_t-30","2019-06-16 10:49:40","100",""
"0000380409","cli_t-30","2019-09-28 03:54:41","250",""
"0000312587","cli_t-30","2019-11-17 19:36:50","150",""
"0000186701","cli_t-30","2019-04-27 20:30:50","300",""
"0000511349","cli_t-30","2019-09-21 15:17:14","850",""
"0000168337","cli_t-30","2019-02-21 02:38:40","900",""
"0000400041","cli_t-30","2019-05-16 02:16:17","500",""
"0000952185","cli_t-30","2019-04-05 12:51:47","450",""
"0000386707","cli_t-30","2019-08-24 22:35:48","500",""
"0000643088","cli_t-30","2019-02-09 07:12:49","350",""
"0000973607","cli_t-30","2019-04-27 11:58:49","900",""
"0000877974","cli_t-30","2019-07-22 07:34:44","350",""
"0000518793","cli_t-30","2019-11-26 10:43:47","200",""
"0000183257","cli_t-30","2019-02-17 02:03:39","800",""
"0000466219","cli_t-30","2019-11-03 10:01:50","350",""
"0000923751","cli_t-30","2019-03-12 12:10:10","250",""
"0000572441","cli_t-30","2019-12-15 15:22:57","700",""
"000034825","cli_t-30","2019-02-07 16:02:51","150",""
"000056339","cli_t-30","2019-05-23 17:02:12","200",""
"0000424106","cli_t-30","2019-03-20 03:32:21","800",""
"0000794483","cli_t-30","2019-04-07 03:30:00","950",""
"000047304","cli_t-30","2019-02-16 20:24:55","550",""
"000055154","cli_t-30","2019-02-08 21:43:02","950",""
"0000142304","cli_t-30","2019-02-13 02:50:28","850",""
"0000757215","cli_t-30","2019-04-28 13:02:01","750",""
"0000217791","cli_t-30","2019-10-03 12:40:39","450",""
"0000589468","cli_t-30","2019-02-11 11:10:46","650",""
"0000621618","cli_t-30","2019-11-16 07:04:58","200",""
"0000312891","cli_t-30","2019-09-05 17:21:06","450",""
"0000772502","cli_t-30","2019-01-25 09:53:53","400",""
"000049554","cli_t-30","2019-03-18 14:39:06","800",""
"0000522628","cli_t-30","2019-07-06 22:25:12","750",""
"0000307003","cli_t-30","2019-10-03 14:52:11","450",""
"0000594496","cli_t-30","2019-08-15 06:14:42","950",""
"0000348070","cli_t-30","2019-07-20 20:56:39","400",""
"0000958473","cli_t-30","2019-01-19 02:37:32","450",""
"0000683260","cli_t-30","2019-05-14 11:08:50","400",""
"0000333850","cli_t-30","2019-08-10 20:32:11","700",""
"0000165763","cli_t-30","2019-01-10 09:25:12","650",""
"0000559564","cli_t-30","2019-07-07 05:07:48","150",""
"0000428650","cli_t-30","2019-02-07 10:44:45","900",""
"0000688732","cli_t-30","2019-04-05 03:38:53","250",""
"0000726831","cli_t-30","2019-10-20 11:13:58","450",""
"0000168501","cli_t-30","2019-08-11 18:45:59","600",""
"0000969366","cli_t-30","2019-05-06 08:50:39","150",""
"0000665055","cli_t-30","2019-11-25 02:01:57","350",""
"0000592340","cli_t-30","2019-02-24 06:38:22","350",""
"00006171","cli_t-30","2019-08-10 04:12:24","550",""
"0000344956","cli_t-30","2019-06-28 03:23:30","900",""
"0000361746","cli_t-30","2019-11-30 06:49:31","750",""
"0000518065","cli_t-30","2019-12-13 13:24:39","850",""
"0000934870","cli_t-30","2019-12-12 19:24:23","800",""
"0000812888","cli_t-30","2019-03-05 13:45:13","750",""
"0000252182","cli_t-30","2019-02-19 05:24:44","550",""
"000045354","cli_t-30","2019-08-05 09:27:28","650",""
"0000858021","cli_t-30","2019-03-05 10:38:21","500",""
"000039817","cli_t-30","2019-08-27 14:22:47","300",""
"000062802","cli_t-30","2019-03-20 18:19:28","950",""
"0000378827","cli_t-30","2019-09-18 03:29:30","200",""
"0000389712","cli_t-30","2019-08-28 19:22:11","600",""
"0000895234","cli_t-30","2019-03-24 06:53:58","950",""
"0000130517","cli_t-30","2019-11-18 06:36:47","300",""
"0000949039","cli_t-30","2019-02-20 09:27:27","900",""
"000010590","cli_t-30","2019-11-18 13:05:12","650",""
"0000640582","cli_t-30","2019-07-19 12:17:57","700",""
"0000528497","cli_t-30","2019-12-06 02:48:50","150",""
"0000875836","cli_t-30","2019-10-03 18:16:38","550",""
"0000897241","cli_t-30","2019-12-09 18:28:51","200",""
"0000754903","cli_t-30","2019-01-07 14:29:42","550",""
"0000592162","cli_t-30","2019-05-19 02:47:29","750",""
"0000148653","cli_t-30","2019-05-31 00:05:28","950",""
"0000515624","cli_t-30","2019-03-11 05:52:14","300",""
"0000379058","cli_t-30","2019-11-08 17:30:31","200",""
"0000671191","cli_t-30","2019-02-21 17:03:54","700",""
"0000780282","cli_t-30","2019-11-25 00:59:40","700",""
"000081449","cli_t-30","2019-01-31 16:35:09","750",""
"0000337539","cli_t-30","2019-06-04 07:10:51","950",""
"000095748","cli_t-30","2019-03-18 18:54:00","350",""
"00007633","cli_t-30","2019-02-01 16:36:20","400",""
"0000287848","cli_t-30","2019-06-12 03:49:25","950",""
"0000628697","cli_t-30","2019-05-23 09:24:10","700",""
"0000614933","cli_t-30","2019-05-14 00:42:51","300",""
"0000326501","cli_t-30","2019-09-08 06:50:25","850",""
"0000328580","cli_t-30","2019-08-20 03:43:06","450",""
"0000640929","cli_t-30","2019-10-07 01:29:11","750",""
"000028089","cli_t-30","2019-01-31 07:29:43","650",""
"0000212087","cli_t-30","2019-10-02 20:27:29","450",""
"000072820","cli_t-30","2019-05-13 17:58:57","450",""
"000014841","cli_t-30","2019-06-21 12:10:09","850",""
"0000163297","cli_t-30","2019-06-17 07:08:59","950",""
"0000309757","cli_t-30","2019-01-12 23:21:46","600",""
"0000812118","cli_t-30","2019-03-02 16:20:57","150",""
"000057966","cli_t-30","2019-02-05 07:36:58","300",""
"0000552088","cli_t-30","2019-08-16 18:00:35","750",""
"0000817976","cli_t-30","2019-05-07 02:00:07","150",""
"0000613945","cli_t-30","2019-11-12 09:11:13","800",""
"0000238989","cli_t-30","2019-09-21 15:05:40","800",""
"0000911753","cli_t-30","2019-05-15 23:34:50","150",""
"0000164641","cli_t-30","2019-12-08 07:44:30","350",""
"0000183866","cli_t-30","2019-10-02 03:48:34","950",""
"0000210213","cli_t-30","2019-03-09 08:17:59","700",""
"0000734737","cli_t-30","2019-05-31 13:18:03","350",""
"0000979051","cli_t-30","2019-03-10 03:47:48","350",""
"0000487142","cli_t-30","2019-07-12 21:47:06","300",""
"0000214816","cli_t-30","2019-12-18 12:42:58","500",""
"0000605770","cli_t-30","2019-01-16 13:23:06","100",""
